Symbol,Nifty 50,Nifty Next 50,Nifty 500,Nifty 750,Nifty Midcap 150,Nifty smallcap 250
ICICIBANK,,,ICICIPRULI,ESCORTS,,SWANENERGY
ICICIGI,,,IDBI,ETERNAL,,SYRMA
ICICIPRULI,,,IDFCFIRSTB,ETHOSLTD,,TBOTEK
ISEC,,,IFCI,EUREKAFORB,,TANLA
IDBI,,,IIFL,EXIDEIND,,TATACHEM
IDFCFIRSTB,,,INOXINDIA,FDC,,TTML
IFCI,,,IRB,NYKAA,,TECHNOE
IIFL,,,IRCON,FEDERALBNK,,TEJASNET
INOXINDIA,,,ITC,FACT,,RAMCOCEM
IRB,,,ITI,FIEMIND,,TIMKEN
IRCON,,,INDGN,FINEORG,,TITAGARH
ITC,,,INDIACEM,FCL,,TARIL
ITI,,,INDIAMART,FINCABLES,,TRIDENT
INDGN,,,INDIANB,FINPIPE,,TRIVENI
INDIACEM,,,IEX,FSL,,TRITURBINE
INDIAMART,,,INDHOTEL,FIVESTAR,,UCOBANK
INDIANB,,,IOC,FORCEMOT,,UTIAMC
IEX,,,IOB,FORTIS,,USHAMART
INDHOTEL,,,IRCTC,GRINFRA,,VGUARD
IOC,,,IRFC,GAIL,,DBREALTY
IOB,,,IREDA,GVT&D,,VTL
IRCTC,,,IGL,GHCL,,MANYAVAR
IRFC,,,INDUSTOWER,GMMPFAUDLR,,VIJAYA
IREDA,,,INDUSINDBK,GMRAIRPORT,,WELCORP
IGL,,,NAUKRI,GMRP&UI,,WELSPUNLIV
INDUSTOWER,,,INFY,GABRIEL,,WESTLIFE
INDUSINDBK,,,INOXWIND,GANESHHOUC,,WHIRLPOOL
NAUKRI,,,INTELLECT,GANECOS,,WOCKPHARMA
INFY,,,INDIGO,GRSE,,ZFCVINDIA
INOXWIND,,,IGIL,GRWRHITECH,,ZEEL
INTELLECT,,,IKS,GARFIBRES,,ZENTEC
INDIGO,,,IPCALAB,GATEWAY,,ZENSARTECH
IPCALAB,,,JBCHEPHARM,GICRE,,ECLERX
JBCHEPHARM,,,JKCEMENT,GILLETTE,,
JKCEMENT,,,JBMA,GLAND,,
JBMA,,,JKTYRE,GLAXO,,
JKLAKSHMI,,,JMFINANCIL,GLENMARK,,
JKTYRE,,,JSWENERGY,MEDANTA,,
JMFINANCIL,,,JSWHL,GODIGIT,,
JSWENERGY,,,JSWINFRA,GPIL,,
JSWINFRA,,,JSWSTEEL,GODFRYPHLP,,
JSWSTEEL,,,JPPOWER,GODREJAGRO,,
JPPOWER,,,J&KBANK,GODREJCP,,
J&KBANK,,,JINDALSAW,GODREJIND,,
JINDALSAW,,,JSL,GODREJPROP,,
JSL,,,JINDALSTEL,GOKEX,,
JINDALSTEL,,,JIOFIN,GOPAL,,
JIOFIN,,,JUBLFOOD,GRANULES,,
JUBLFOOD,,,JUBLINGREA,GRAPHITE,,
JUBLINGREA,,,JUBLPHARMA,GRASIM,,
JUBLPHARMA,,,JWL,GRAVITA,,
JWL,,,JUSTDIAL,GESHIP,,
JUSTDIAL,,,JYOTHYLAB,GREAVESCOT,,
JYOTHYLAB,,,JYOTICNC,GREENPANEL,,
JYOTICNC,,,KPRMILL,GREENPLY,,
KPRMILL,,,KEI,GAEL,,
KEI,,,KNRCON,FLUOROCHEM,,
KNRCON,,,KPITTECH,GUJGASLTD,,
KPITTECH,,,KAJARIACER,GMDCLTD,,
KSB,,,KPIL,GNFC,,
KAJARIACER,,,KALYANKJIL,GPPL,,
KPIL,,,KANSAINER,GSFC,,
KALYANKJIL,,,KARURVYSYA,GSPL,,
KANSAINER,,,KAYNES,GULFOILLUB,,
KARURVYSYA,,,KEC,HEG,,
KAYNES,,,KFINTECH,HGINFRA,,
KEC,,,KIRLOSBROS,HBLENGINE,,
KFINTECH,,,KIRLOSENG,HCLTECH,,
KIRLOSBROS,,,KOTAKBANK,HDFCAMC,,
KIRLOSENG,,,KIMS,HDFCBANK,,
KOTAKBANK,,,LTF,HDFCLIFE,,
KIMS,,,LTTS,HFCL,,
LTF,,,LICHSGFIN,HAPPSTMNDS,,
LTTS,,,LTFOODS,HATHWAY,,
LICHSGFIN,,,LTIM,HAVELLS,,
LTIM,,,LT,HCG,,
LT,,,LATENTVIEW,HEIDELBERG,,
LATENTVIEW,,,LAURUSLABS,HEMIPROP,,
LAURUSLABS,,,LEMONTREE,HERITGFOOD,,
LEMONTREE,,,LICI,HEROMOTOCO,,
LICI,,,LINDEINDIA,HIKAL,,
LINDEINDIA,,,LLOYDSME,HSCL,,
LLOYDSME,,,LODHA,HINDALCO,,
LUPIN,,,LUPIN,HAL,,
MMTC,,,MMTC,HCC,,
MRF,,,MRF,HINDCOPPER,,
LODHA,,,MGL,HINDPETRO,,
MGL,,,MAHSEAMLES,HINDUNILVR,,
MAHSEAMLES,,,M&MFIN,HINDZINC,,
M&MFIN,,,M&M,POWERINDIA,,
M&M,,,MANAPPURAM,HOMEFIRST,,
MAHLIFE,,,MRPL,HONASA,,
MANAPPURAM,,,MANKIND,HONAUT,,
MRPL,,,MARICO,HUDCO,,
MANKIND,,,MARUTI,HYUNDAI,,
MARICO,,,MASTEK,ICICIBANK,,
MARUTI,,,MFSL,ICICIGI,,
MASTEK,,,MAXHEALTH,ICICIPRULI,,
MFSL,,,MAZDOCK,IDBI,,
MAXHEALTH,,,METROPOLIS,IDFCFIRSTB,,
MAZDOCK,,,MINDACORP,IFBIND,,
METROBRAND,,,MSUMI,IFCI,,
METROPOLIS,,,MOTILALOFS,IIFLCAPS,,
MINDACORP,,,MPHASIS,IIFL,,
MSUMI,,,MCX,INOXINDIA,,
